Year,Units,display,Bundesland,GeoCode,Value
1991,percentage (%),a) time series,,,2.400
1992,percentage (%),a) time series,,,2.300
1993,percentage (%),a) time series,,,2.200
1994,percentage (%),a) time series,,,2.100
1995,percentage (%),a) time series,,,2.100
1996,percentage (%),a) time series,,,2.100
1997,percentage (%),a) time series,,,2.200
1998,percentage (%),a) time series,,,2.200
1999,percentage (%),a) time series,,,2.400
2000,percentage (%),a) time series,,,2.400
2001,percentage (%),a) time series,,,2.400
2002,percentage (%),a) time series,,,2.400
2003,percentage (%),a) time series,,,2.500
2004,percentage (%),a) time series,,,2.400
2005,percentage (%),a) time series,,,2.400
2006,percentage (%),a) time series,,,2.500
2007,percentage (%),a) time series,,,2.500
2008,percentage (%),a) time series,,,2.600
2009,percentage (%),a) time series,,,2.700
2010,percentage (%),a) time series,,,2.700
2011,percentage (%),a) time series,,,2.800
2012,percentage (%),a) time series,,,2.900
2013,percentage (%),a) time series,,,2.800
2014,percentage (%),a) time series,,,2.900
2015,percentage (%),a) time series,,,2.900
2016,percentage (%),a) time series,,,2.900
2017,percentage (%),a) time series,,,3.100
2018,percentage (%),a) time series,,,3.100
2019,percentage (%),a) time series,,,3.200
2020,percentage (%),a) time series,,,3.100
1991,percentage (%),b) target (min),,,3.500
1992,percentage (%),b) target (min),,,3.500
1993,percentage (%),b) target (min),,,3.500
1994,percentage (%),b) target (min),,,3.500
1995,percentage (%),b) target (min),,,3.500
1996,percentage (%),b) target (min),,,3.500
1997,percentage (%),b) target (min),,,3.500
1998,percentage (%),b) target (min),,,3.500
1999,percentage (%),b) target (min),,,3.500
2000,percentage (%),b) target (min),,,3.500
2001,percentage (%),b) target (min),,,3.500
2002,percentage (%),b) target (min),,,3.500
2003,percentage (%),b) target (min),,,3.500
2004,percentage (%),b) target (min),,,3.500
2005,percentage (%),b) target (min),,,3.500
2006,percentage (%),b) target (min),,,3.500
2007,percentage (%),b) target (min),,,3.500
2008,percentage (%),b) target (min),,,3.500
2009,percentage (%),b) target (min),,,3.500
2010,percentage (%),b) target (min),,,3.500
2011,percentage (%),b) target (min),,,3.500
2012,percentage (%),b) target (min),,,3.500
2013,percentage (%),b) target (min),,,3.500
2014,percentage (%),b) target (min),,,3.500
2015,percentage (%),b) target (min),,,3.500
